Name of Collection,Total volume of Collection,Change in volume,Floor Price of Collection,Time of Scrape,Name of Collection.1,Total volume of Collection.1,Change in volume.1,Floor Price of Collection.1,Time of Scrape.1,Name of Collection.2,Total volume of Collection (in ETH),Change in volume (in ETH)),Floor Price of Collection.2,Time of Scrape.2,Rank,Name of Collection.3,Total volume of Collection (in ETH).1,Change in volume (in ETH)).1,Floor Price of Collection.3,Time of Scrape.3,Rank.1,Name of Collection.4,Total volume of Collection (in ETH).2,Change in Daily volume (in ETH)),Floor Price of Collection.4,Time of Scrape.4,Rank.2,Name of Collection.5,Total volume of Collection (in ETH).3,Change in Daily volume (in ETH)).1,Floor Price of Collection.5,Time of Scrape.5,Rank,Name of Collection,Total volume of Collection (in ETH),Change in Daily volume (in ETH)),Floor Price of Collection,Time of Scrape
PXL Toys,1.30 ETH,-1%,0.01 ETH,8/5/22 19:50,PXL Toys,1.30 ETH,2%,0.01 ETH,8/5/22 20:12,StupidMonkeys Pajamas,1.14,-64%,0.02,8/5/22 21:57,11.0,Monkey Business,1.04,+19%,0.04,08/05/2022 23:36:57,11.0,Tree Of Life,1.07,+2585%,0.02,08/06/2022 18:07:39,11.0,Ordinary NFT Cards,0.76,-36%,0.01,08/07/2022 16:15:22,11.0,🍒🥭🍎🍊🍐🍍🥝🍇🍈🍌🍏🍉�...,1.47,+174%,0.0001,08/08/2022 13:54:42
Stupid Monkeys Animated,1.26 ETH,-48%,0.20 ETH,8/5/22 19:50,Stupid Monkeys Animated,1.26 ETH,-48%,0.20 ETH,8/5/22 20:12,PXL Toys,1.06,-23%,0.02,8/5/22 21:57,12.0,🍒🥭🍎🍊🍐🍍🥝🍇🍈🍌🍏🍉�...,1.04,-52%,0.0001,08/05/2022 23:36:57,12.0,Ordinary NFT Cards,1.06,+33%,0.01,08/06/2022 18:07:39,12.0,Tiny Pirates,0.73,+10%,0.0001,08/07/2022 16:15:22,12.0,PXL Toys,1.33,-3%,0.01,08/08/2022 13:54:42
Monkey Business,1.11 ETH,30%,0.04 ETH,8/5/22 19:50,Monkey Business,1.11 ETH,30%,0.04 ETH,8/5/22 20:12,Halls,1.0,18%,0.0001,8/5/22 21:57,13.0,PXL Toys,1.04,-22%,0.02,08/05/2022 23:36:57,13.0,NFTurtles Originals,1.03,+136%,0.15,08/06/2022 18:07:39,13.0,StupidMonkeys Pajamas,0.73,-43%,0.02,08/07/2022 16:15:22,13.0,PROTAGONISTS,1.21,-7%,0.0001,08/08/2022 13:54:42
Ordinary NFT Cards,0.91 ETH,-3%,0.01 ETH,8/5/22 19:50,Ordinary NFT Cards,1.09 ETH,14%,0.01 ETH,8/5/22 20:12,Ordinary NFT Cards,0.82,-32%,0.01,8/5/22 21:57,14.0,StupidMonkeys Pajamas,0.98,-70%,0.02,08/05/2022 23:36:57,14.0,YABOYNANCY COLLECTOR PORT...,0.96,+151%,0.01,08/06/2022 18:07:39,14.0,SpaceColony M2,0.59,+136%,0.05,08/07/2022 16:15:22,14.0,The Curated VIP Collectio...,1.2,--,0.2,08/08/2022 13:54:42
Halls,0.83 ETH,-26%,< 0.01 ETH,8/5/22 19:50,Halls,0.83 ETH,-26%,< 0.01 ETH,8/5/22 20:12,Stupid Monkeys Animated,0.82,-73%,0.2,8/5/22 21:57,15.0,Stupid Monkeys Animated,0.82,-73%,0.2,08/05/2022 23:36:57,15.0,PXL Toys,0.87,-20%,0.02,08/06/2022 18:07:39,15.0,WalkerZ,0.58,-80%,0.04,08/07/2022 16:15:22,15.0,Pixels,1.06,+2368%,0.0001,08/08/2022 13:54:42
Overwhelmed,0.76 ETH,69%,0.10 ETH,8/5/22 19:50,NFTurtles Originals,0.76 ETH,--,0.14 ETH,8/5/22 20:12,Neon vibes,0.8,--,0.02,8/5/22 21:57,16.0,Neon vibes,0.8,--,0.02,08/05/2022 23:36:57,16.0,🍒🥭🍎🍊🍐🍍🥝🍇🍈🍌🍏🍉�...,0.86,-53%,0.0001,08/06/2022 18:07:39,16.0,🍒🥭🍎🍊🍐🍍🥝🍇🍈🍌🍏🍉�...,0.57,-34%,0.0001,08/07/2022 16:15:22,16.0,CYBER CREW COLLECTORS CLU...,0.94,-17%,1.0,08/08/2022 13:54:42
Loop Cats Collectibles,0.70 ETH,--,0.03 ETH,8/5/22 19:50,Loop Cats Collectibles,0.70 ETH,--,0.03 ETH,8/5/22 20:12,Power 2 The Apes!,0.8,153%,0.08,8/5/22 21:57,17.0,Power 2 The Apes!,0.8,+153%,0.08,08/05/2022 23:36:57,17.0,Tiny Pirates,0.66,+71%,0.0001,08/06/2022 18:07:39,17.0,Bonsai,0.51,+24%,0.01,08/07/2022 16:15:22,17.0,Power 2 The Apes!,0.77,+102%,0.06,08/08/2022 13:54:42
Launch Day,0.69 ETH,-65%,0.12 ETH,8/5/22 19:50,Launch Day,0.69 ETH,-63%,0.12 ETH,8/5/22 20:12,NFTurtles Originals,0.76,--,0.14,8/5/22 21:57,18.0,YABOYNANCY COLLECTOR PORT...,0.77,-31%,0.02,08/05/2022 23:36:57,18.0,dTweenies,0.65,+118%,0.08,08/06/2022 18:07:39,18.0,The Gamer Room,0.5,--,0.41,08/07/2022 16:15:22,18.0,Beep,0.75,--,1.0,08/08/2022 13:54:42
Neon vibes,0.68 ETH,--,0.02 ETH,8/5/22 19:50,Neon vibes,0.68 ETH,--,0.02 ETH,8/5/22 20:12,Loop Cats Collectibles,0.7,--,0.03,8/5/22 21:57,19.0,NFTurtles Originals,0.76,--,0.14,08/05/2022 23:36:57,19.0,PROTAGONISTS,0.63,+34%,0.0001,08/06/2022 18:07:39,19.0,Dankclops main collection...,0.42,--,0.21,08/07/2022 16:15:22,19.0,Player Gloves,0.69,+246%,0.1,08/08/2022 13:54:42
Loop Cats x Loop Weebs,0.63 ETH,538%,0.01 ETH,8/5/22 19:50,Overwhelmed,0.65 ETH,17%,0.10 ETH,8/5/22 20:12,Launch Day,0.69,-59%,0.12,8/5/22 21:57,20.0,Loop Cats Collectibles,0.7,--,0.03,08/05/2022 23:36:57,20.0,♥️🤖 BitBots 🤖🧠,0.6,+936%,0.0001,08/06/2022 18:07:39,20.0,Power 2 The Apes!,0.38,-35%,0.07,08/07/2022 16:15:22,20.0,Time God,0.64,--,0.03,08/08/2022 13:54:42
